name,label,cagr,maxdd,sharpe,vol,calmar,start,end,y2008,y2020,y2022
A_prod,"Clock only, renormalise missing (production path)",0.14846193945015207,0.13898975416401915,1.0298919854441868,0.12601939601749193,1.0681502413117083,2005-01-04,2026-09-21,0.05240098789369951,0.18095008865558082,-0.12125980046632356
A,"Clock only, AIPO pre-listing held as cash",0.14608605836155375,0.13703850868767897,1.025257401149507,0.12427170458607029,1.06602195076783,2005-01-04,2026-09-21,0.052872438693559065,0.17537022898076615,-0.12002897671133339
B,"Clock + GS derisk (bull<45, bear>=70)",0.11533462705169062,0.12887138195002024,0.9830092912428239,0.09832974564082095,0.8949591857129341,2005-01-04,2026-09-21,0.06676625180328744,0.22788374435223746,-0.09862362590327367
C,Clock + derisk + alignment boost,0.11596533159353939,0.1368916103073875,0.9153160125254184,0.10629089492697756,0.8471324965287605,2005-01-04,2026-09-21,0.0818439763931349,0.24883900571208106,-0.09818801174109248
B_wide,"Derisk, wider stress band (bull<50, bear>=65)",0.11610954042172539,0.12827770445892794,0.9689770403322131,0.10055343200608774,0.9051420191176046,2005-01-04,2026-09-21,0.05435513398886016,0.22689768897936657,-0.09950146399387505
B_mild,"Derisk, milder mid band (equity ×0.85, vol ×0.85)",0.1187988111473317,0.12876710138829306,0.9942416624324808,0.10070312022647818,0.9225866690056003,2005-01-04,2026-09-21,0.06115633175328061,0.21295075946533903,-0.09834262364188773
C_tilt,"Derisk + equity tilt only (×1.20, vol mult 1)",0.11343041994172576,0.1323458954077299,0.9041552661517608,0.1047993082690305,0.8570754657125592,2005-01-04,2026-09-21,0.08210451941741082,0.2627036637645854,-0.09802963984633162
C_hot,"Derisk + hotter bull vol (equity ×1.15, vol ×1.15)",0.1172608617494535,0.13892133423487085,0.9195600111008768,0.10720919469976659,0.8440810217903858,2005-01-04,2026-09-21,0.0829626431931052,0.25228437911548096,-0.0981880117410927
C_boost_only,Alignment boost with NO mid/bear derisk,0.14619644422575706,0.13712950735564922,0.9805077380424578,0.13005595549824728,1.0661195175637326,2005-01-04,2026-09-21,0.06806959026320003,0.20396053335380993,-0.11844755349063907
A_unlag,"Clock only, NO publication lag (look-ahead reference)",0.15520459673128695,0.14480920792976604,1.106338494589645,0.1234061943227486,1.0717867941558163,2005-01-04,2026-09-21,0.08874411616356537,0.17586567121484786,-0.13003035105677063
A_auditor,Publication lag PLUS an extra month (auditor 'lagged' series),0.12205442139400358,0.14102311744485552,0.8338113992064289,0.12398349076442614,0.8654922937846038,2005-01-04,2026-09-21,0.011315479002092843,0.04749769336958409,-0.11763866250461474
