Date,CDN Regime Strategy
2012-11-27,1.0
2012-11-28,0.9999900793650793
2012-11-29,0.9999801588285777
2012-11-30,0.999970238390494
2012-12-03,0.9999603180508274
2012-12-04,0.9999503978095768
2012-12-05,0.9999404776667414
2012-12-06,0.9999305576223201
2012-12-07,0.9999206376763119
2012-12-10,0.9999107178287159
2012-12-11,0.999900798079531
2012-12-12,0.9998908784287563
2012-12-13,0.999880958876391
2012-12-14,0.9998710394224338
2012-12-17,0.999861120066884
2012-12-18,0.9998512008097404
2012-12-19,0.9998412816510022
2012-12-20,0.9998313625906683
2012-12-21,0.9998214436287378
2012-12-24,0.9998115247652097
2012-12-27,0.999801606000083
2012-12-28,0.9997420939997259
2012-12-31,0.9996825855417497
2013-01-02,0.9996230806259436
2013-01-03,0.9995635792520968
2013-01-04,0.9995040814199985
2013-01-07,0.9994445871294377
2013-01-08,0.9993850963802039
2013-01-09,0.999325609172086
2013-01-10,0.9992661255048734
2013-01-11,0.9992066453783552
2013-01-14,0.9991471687923208
2013-01-15,0.9990876957465594
2013-01-16,0.9990282262408603
2013-01-17,0.9989687602750127
2013-01-18,0.9989092978488059
2013-01-21,0.9988498389620292
2013-01-22,0.9987903836144719
2013-01-23,0.9987309318059234
2013-01-24,0.9986714835361731
2013-01-25,0.9986120388050103
2013-01-28,0.9985525976122243
2013-01-29,0.9984931599576045
2013-01-30,0.9984337258409404
2013-01-31,0.9983742952620213
2013-02-01,0.9983148682206366
2013-02-04,0.9982554447165759
2013-02-05,0.9981960247496285
2013-02-06,0.998136608319584
2013-02-07,0.9980771954262316
2013-02-08,0.9980177860693611
2013-02-11,0.9979583802487617
2013-02-12,0.9978989779642231
2013-02-13,0.9978395792155348
2013-02-14,0.9977801840024862
2013-02-15,0.9977207923248671
2013-02-19,0.9976614041824668
2013-02-20,0.9976020195750751
2013-02-21,0.9975426385024814
2013-02-22,0.9974832609644753
2013-02-25,1.0027996738737777
2013-02-26,1.0060009520076776
2013-02-27,1.0053274191411048
2013-02-28,1.0067544144320228
2013-03-01,1.00623668691117
2013-03-04,1.005306017603728
2013-03-05,1.0055496051209953
2013-03-06,1.007647928204379
2013-03-07,1.0042600711996759
2013-03-08,1.0002588965560006
2013-03-11,0.9992579006279935
2013-03-12,1.0030617151739916
2013-03-13,1.001870031855054
2013-03-14,0.9995833101130647
2013-03-15,1.0025487493878948
2013-03-18,1.0057342728654957
2013-03-19,1.0092463589817853
2013-03-20,1.0059460943063547
2013-03-21,1.0084405867498774
2013-03-22,1.0085844311944567
2013-03-25,1.0079588515811728
2013-03-26,1.0073278434409432
2013-03-27,1.010351163317106
2013-03-28,1.009621265605296
2013-04-01,1.0097746807056118
2013-04-02,1.0082740106487935
2013-04-03,1.007921270829792
2013-04-04,1.0108893158054795
2013-04-05,1.0149112142938086
2013-04-08,1.0120722144306904
2013-04-09,1.0132626728588923
2013-04-10,1.0080095273657963
2013-04-11,1.0077383202112715
2013-04-12,1.004062118130938
