year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,0.0,0.0,0.0,0.0,0.0,0.061913138757980005,-0.07454762869356993,-0.10761430485218001,-0.29053863085627996,-0.15019382668240017,-0.24312999765847,-0.10899703597881,-0.9966911231948483
2006,-0.16627851406484997,0.17573692005969002,0.14375796267987012,-0.24247997260989015,0.08722031197095984,0.2341014763314997,0.005887576543889966,0.07579590322400014,0.3295581300873301,0.1870094761728905,-0.28703478853462017,0.6268940211763,1.3612434725982503
2007,0.03359741721045001,-0.48470016516459,0.21711402536787003,0.04985265643421971,0.37596678340147993,-0.27316875964570003,-0.5292257549518,-0.14930282841587006,-0.0433958384325403,-0.23746620398994028,-0.22264131149551009,-0.49622483957493,-2.0477733212420857
2008,-0.41622699599654,-0.22794781125947994,-0.06114912827450006,0.0354529289137602,0.0699653899878,-1.0846869093663698,0.03452828961753012,0.39916146775888994,-1.26093471936226,-0.41575484523121015,-2.08042914254927,0.4157658188811489,-5.048140529247802
2009,-0.1177254311136508,-0.41629151872307985,0.25579356230083,0.5029369590739698,0.21225370446456004,0.00025176755813014623,0.8227526571767899,0.5273315861571898,0.2883518074231303,0.0483206287529403,-0.21593895275686947,-0.1703011711250899,1.7678734353165249
2010,0.3984816098461505,0.06220998162770018,0.22723150957493013,-0.2244708864251696,-1.7875479130444099,-0.4323796164404099,0.2404086017558999,-0.32323532426584006,-0.22572407752805002,-0.03854169277841962,-0.11835092588388021,0.3454787828439401,-2.4140968219899417
2011,0.023110300714089885,-0.07249196458621043,0.77387670299655,-0.08755323382381025,0.16691498560263002,0.5740010366570194,-1.04254026210682,-0.7915667263875603,-0.27274765906587,0.4850026376369301,-0.007732302138659976,0.27326943978842994,0.17064659183545494
2012,-0.4476551134023704,0.23900932592302998,0.6093649111542594,0.12926318673129983,-0.15825928715411108,-0.03174387593248007,0.05043915102257001,-0.1447541168462005,0.21969719441559987,0.2544913921816001,0.43091664799582,0.047243735220640036,1.3003080177374837
2013,0.5127414993298898,0.36973938310665005,0.33074505667793974,0.71762455181201,-0.024074203204670075,0.32876944194088975,0.07936215489008011,-0.04101939965040005,0.27354545635759964,0.27608796466873986,0.23041127438456002,0.07900186200818018,3.8398563370294347
2014,-0.61842463670572,-0.28016744454334996,0.27199456144642997,0.20482959875250997,0.018284720126290205,-0.09613581152298975,-0.1505114002543599,0.009705443845109407,0.42011338490143024,0.64390693537464,-0.26770521290308963,0.008165461766919922,0.22932163728126564
2015,-0.21686879499415,-0.056964827525910616,0.1139567205677601,-0.21963910824216,0.08809368270675001,0.5239945554477001,0.62015035126135,-0.50452166483545,-0.08557797268094,0.8144863203825702,0.16048286168388987,-0.53107047681396,0.6260263377756536
2016,-0.2432115120095401,0.23798364319672013,0.48390335152373004,0.023942526934380003,0.42183143481294044,-0.014794484724179983,0.013950099457900322,-0.06631295069999994,-0.06311317679740994,0.2988553367277803,0.7101913245432101,-0.18779319206601014,1.765703652988737
2017,-1.2957573729684508,0.18974693538916024,-0.16131251905298002,0.034090245075900014,-0.33006603504886,0.2609162065880799,-0.11082127581402007,-0.26154197060386,0.51629741179177,0.20126378759130967,-0.24719875758196994,-0.018621610624319947,-1.5721482198517212
2018,0.10019157505406912,-0.3741366226846905,-0.07692216202426008,0.017638360207380098,-0.31668398267578957,0.22839792944274984,0.09701716275167006,0.13202549794177967,0.14316241719470013,0.11943917622491002,0.01954011857144,-0.20878557218355995,-0.1265256510785684
2019,-0.19533102204023003,0.21460333705191997,-0.13117019743029995,0.09888891615805959,0.15757398173186984,-0.2412895662697402,0.3921034991781801,-0.5125656299506701,0.09020839641219,-0.21481426300631012,0.37496419816739,-0.08152500850992991,-0.04345642905807523
2020,0.04533829348843006,-0.42692881334100014,-0.39764073095506997,0.07285208507153002,0.2931660620842,0.14328755378590005,-0.2566180055201095,0.21658350443962,0.13389270022185,-0.07601411251369969,0.021176099214349764,-0.8154404139544504,-1.2148244436227085
2021,0.10644643847031993,-0.08656619189579,0.56363975089446,0.4357377752559802,-0.6473252993243694,0.55335056949098,0.40383360354475994,0.2023793408450999,-1.0448396747436097,0.06794176643085958,0.02491978277524001,0.41607825858218994,1.0697740992377636
2022,-0.3276434750813198,-0.9438610996632701,-0.04418177071343968,-0.35345283103528014,0.2589980813317402,-0.3483477419503998,0.38932352713146,-0.03841040465026972,0.21674944633098026,0.30859974558676007,-0.17069836995668997,0.07569605745317981,-0.8492789953289948
2023,-0.25696729563911,0.12577678223042005,-0.06596553789520003,-0.15075511259336993,-0.3012747662112202,-0.35631620305316,0.12188565470574939,-0.5868288032831598,-0.017569844247369848,-0.13627513865663998,-0.33116481917219026,0.31163005283367934,-2.03204886264694
2024,-0.22249739942515004,0.36850759735875954,0.14470461323106004,0.18241254954202996,-0.2362771554150496,0.8188186184932,0.23510309787895003,0.13897473738375998,-0.05122556333524014,-0.33545124416844985,0.018912158693139974,0.22013241896997987,1.5566880350392553
2025,-0.03433738389458027,0.05573279254360991,0.014865169358210112,-0.04443803368289999,-0.48360658915259025,-0.3145093411389105,-0.04558515975544002,-0.03923982354230998,0.1404130658241312,-0.15225037774490996,0.07117429062842001,-0.25662781258299006,-1.3195025470360333
2026,-0.2595650240320595,0.03619165047548008,-0.006586109970330156,0.9002412360940903,0.6804100611684994,0.2620344495706698,-0.29710936004752003,-0.3675905789799504,-0.00683577770904005,,,,0.9406516195004988
