Date,CDN Regime Strategy
2012-11-30,-2.976160950596274e-05
2012-12-31,-0.0002876614100107977
2013-01-31,-0.0013087056818331666
2013-02-28,0.008393764953456007
2013-03-31,0.0028476171866504973
2013-04-30,-0.004855294420571421
2013-05-31,0.023472851303719677
2013-06-30,-0.03131344395690783
2013-07-31,0.040282587469729236
2013-08-31,0.0019080021051913754
2013-09-30,-0.0021208002688385408
2013-10-31,0.024018691358747457
2013-11-30,0.030451478785175068
2013-12-31,0.015039153999678812
2014-01-31,-0.0061063973347990075
2014-02-28,0.0462505117103833
2014-03-31,-0.006469801968562505
2014-04-30,0.0076459852702857045
2014-05-31,0.020749865391997746
2014-06-30,0.026076708771007873
2014-07-31,0.02817778916866609
2014-08-31,0.03914772374516784
2014-09-30,-0.014914601980211994
2014-10-31,0.007758654389480535
2014-11-30,0.043979338966024795
2014-12-31,-0.012634476042380105
2015-01-31,0.021216402565102266
2015-02-28,0.05985240363493283
2015-03-31,-0.023691224403748268
2015-04-30,-0.0012982411033855001
2015-05-31,0.0227751420441622
2015-06-30,-0.02994064346626646
2015-07-31,0.03509677386714993
2015-08-31,-0.058715984418776235
2015-09-30,-0.016453239056828828
2015-10-31,0.06591285838019889
2015-11-30,0.002359181092094653
2015-12-31,-0.0020135289154085134
2016-01-31,-0.04031564736894888
2016-02-29,0.01836293096387087
2016-03-31,0.008067762873104956
2016-04-30,0.0068044106336506704
2016-05-31,0.04168369608218647
2016-06-30,-0.008641001008753424
2016-07-31,0.06030279584745091
2016-08-31,0.01051341596701394
2016-09-30,0.010338742321613248
2016-10-31,-0.003546027284843545
2016-11-30,0.011873411269153422
2016-12-31,0.026669299917085887
2017-01-31,0.027755074080801245
2017-02-28,0.05284739292915486
2017-03-31,0.008568985536760998
2017-04-30,0.02498471055785978
2017-05-31,0.01881794270451942
2017-06-30,-0.03138014285106905
2017-07-31,0.0011388743105535948
2017-08-31,0.016111541566805387
2017-09-30,0.012835378009992127
2017-10-31,0.06223226895356193
2017-11-30,0.021285625268500086
2017-12-31,-0.0008809787836595584
2018-01-31,0.04406788337921452
2018-02-28,-0.03290045721307411
2018-03-31,-0.016141931959763434
2018-04-30,-0.0027138946012460474
2018-05-31,0.03180564441323508
2018-06-30,0.009462244656600172
2018-07-31,0.016396778298800152
2018-08-31,0.03342312955443494
2018-09-30,-0.008027451620996606
2018-10-31,-0.08202664338194376
2018-11-30,0.007251881446679986
2018-12-31,-0.04328422013353306
2019-01-31,0.039798703501728205
2019-02-28,0.016770906724413726
2019-03-31,0.016938816240138932
2019-04-30,0.04850573742408648
2019-05-31,-0.06500020209054413
2019-06-30,0.055855909715484486
2019-07-31,0.022721094233298933
2019-08-31,-0.00707464373438238
2019-09-30,0.021919241056646888
2019-10-31,0.025647021481165932
2019-11-30,0.039541747093629676
2019-12-31,0.0026986427643704847
2020-01-31,0.034858792776320424
2020-02-29,-0.052427950066461504
2020-03-31,-0.03816461617452527
2020-04-30,0.02854059747837523
2020-05-31,0.005047262482507753
2020-06-30,0.01795535864136788
2020-07-31,0.06264798788809078
2020-08-31,0.04843569519808688
2020-09-30,-0.03438645229760595
2020-10-31,-0.02692476747074324
2020-11-30,0.07660640367068305
2020-12-31,0.030232805972338683
2021-01-31,-0.011052158066634177
2021-02-28,0.000857870712021036
2021-03-31,0.0333008805794317
2021-04-30,0.03930218594243162
2021-05-31,0.04237995921395998
2021-06-30,-0.0033162832124974395
2021-07-31,0.031277251407767936
2021-08-31,0.023004330656363425
2021-09-30,-0.05742045951046748
2021-10-31,0.05204002222340942
2021-11-30,0.025819846587652684
2021-12-31,0.03922477603365704
2022-01-31,-0.036354549178548745
2022-02-28,0.01490080910129099
2022-03-31,0.021422834675464353
2022-04-30,-0.07358394515840916
2022-05-31,-0.025393627814360276
2022-06-30,-0.02865358869610668
2022-07-31,-0.00030958099909128567
2022-08-31,-0.011421025452558409
2022-09-30,-0.0015986827883716082
2022-10-31,-0.0045637152327989705
2022-11-30,0.010742300414997352
2022-12-31,-0.01626765908855654
2023-01-31,0.0187802953428875
2023-02-28,-0.0064351405662288474
2023-03-31,0.009598150685359519
2023-04-30,0.006076440390596849
2023-05-31,-0.0012894208732645573
2023-06-30,0.01743747686238728
2023-07-31,0.020797919698122724
2023-08-31,-0.018322113155944675
2023-09-30,-0.028381032330636935
2023-10-31,0.00834995048856757
2023-11-30,0.057252737467846204
2023-12-31,0.061532461336288424
2024-01-31,0.010418171619249739
2024-02-29,0.05044027339253976
2024-03-31,0.08153235414773041
2024-04-30,-0.008593537487246006
2024-05-31,0.045970354269864844
2024-06-30,0.01865053235366232
2024-07-31,0.03436212254244264
2024-08-31,0.017556324740714224
2024-09-30,0.042912798727124946
2024-10-31,0.011763710425635843
2024-11-30,0.058944964783155696
2024-12-31,-0.006943005821820281
2025-01-31,0.042390298560029294
2025-02-28,-0.02057285279672616
2025-03-31,-0.058887336482429053
2025-04-30,-0.0030364935361335554
2025-05-31,0.06907012017763026
2025-06-30,0.04410658718274951
2025-07-31,0.023626539597174867
2025-08-31,0.04425320930494747
2025-09-30,0.08011523021237021
2025-10-31,0.03282108147778806
2025-11-30,0.02566762778334364
2025-12-31,0.003940139079847027
2026-01-31,0.013373850600221004
2026-02-28,0.018401212510383402
2026-03-31,-0.05955738241629871
2026-04-30,0.07568271573998753
2026-05-31,0.06069039162905465
2026-06-30,-0.025552124571615153
2026-07-31,-0.030163045509117636
2026-08-31,0.015946598454825933
2026-09-30,0.004641693323061746
