Date,Optimized Regime Strategy,Basic Regime (upper bound),60/40 Benchmark,S&P 500,Nasdaq 100 (QQQ),All Weather
2014-05-02,3.6256197359997704,2.7650907069130715,1.8208228786096745,1.8852606850439502,2.369891917104259,1.8665831116506753
2014-05-05,3.640686991005618,2.7737054904193914,1.8226458946151283,1.888869343298643,2.3823519054401308,1.8639655209082502
2014-05-06,3.6058804291449733,2.7544911315520615,1.813664317271156,1.8724287485503055,2.3514717272111563,1.8622617243784787
2014-05-07,3.604864398349904,2.752592804790588,1.820073117466301,1.8834561674749197,2.344699080705817,1.8614863393559713
2014-05-08,3.6083120587488393,2.7551427450412955,1.8193788025931197,1.881450394187037,2.3425327880379734,1.8575776316378292
2014-05-09,3.61184508948009,2.7571485615406575,1.8203390989112633,1.8842581752833776,2.351200003453344,1.855026405604675
2014-05-12,3.664663628306752,2.788840968762349,1.8303694559987513,1.9026027848100657,2.389935633730913,1.857972734900256
2014-05-13,3.6635553094305027,2.785741041661532,1.832567049253445,1.9043074282864079,2.3915614324022383,1.866260483289414
2014-05-14,3.6522715149752694,2.7771627805961945,1.8294459608301745,1.8952848404412543,2.3791003080974797,1.8749679229031684
2014-05-15,3.617234456611622,2.7565082643060252,1.8213515211140154,1.8786439321824864,2.360409757609229,1.8749968013739682
2014-05-16,3.636669705557997,2.7693582602352795,1.8243423564545933,1.8851604340678927,2.3758503011112713,1.8740999808193668
2014-05-19,3.658791179794389,2.7831574926855667,1.8280913581332414,1.8920769976491063,2.392374558931679,1.870246587105852
2014-05-20,3.643243399098477,2.7739662103904004,1.8215103323544557,1.880148073706714,2.3837052987723117,1.8695742199354781
2014-05-21,3.670581890587434,2.789416969459735,1.8304502356654295,1.8959865972736554,2.406459209969989,1.869226950855405
2014-05-22,3.684039518938952,2.7977137601761632,1.8327866581663612,1.9005983306139738,2.417023493426942,1.8696493186133292
2014-05-23,3.709769024218001,2.8120728862513977,1.8379340726568894,1.9082172163526412,2.434630556790605,1.8766089618846962
2014-05-27,3.7355947525203246,2.8278972190387215,1.8453851569286177,1.9199462036679718,2.4649686506666195,1.880369222947172
2014-05-28,3.7345052876135303,2.8253407542368563,1.846601193067737,1.9185426900031701,2.457384922375837,1.8900988869997206
2014-05-29,3.750747702654274,2.834566532405813,1.8519282749406898,1.9284669713077858,2.4730953720854716,1.8884092982022125
2014-05-30,3.7511567655283375,2.8351267357329153,1.8543953921543104,1.931574940007245,2.4733659598743967,1.887096355923845
2014-06-02,3.7468933593233547,2.835465645168842,1.8534093906726916,1.933780649922189,2.470927943448741,1.8798150584375735
2014-06-03,3.7479102313841683,2.8396355018976536,1.8508628397048175,1.932778328603301,2.469844910711708,1.869108423561778
2014-06-04,3.757584350122088,2.8460144076996845,1.8528363008184503,1.936686986019428,2.4790537560924837,1.869153009709661
2014-06-05,3.7898495020015797,2.863112881026475,1.8610412848067253,1.9493189858860114,2.49991128082991,1.8747715078097897
2014-06-06,3.8092194895951357,2.874525856477758,1.8659716580482884,1.9586417613342837,2.514268337207364,1.8777807059246123
2014-06-09,3.8088996321769986,2.8749172131097067,1.8664321103354085,1.9606469692971131,2.5123724051346685,1.8775103819261418
2014-06-10,3.8149387043954706,2.879544882997298,1.8654482807590713,1.9608472828075432,2.5167061264392427,1.874797659423792
2014-06-11,3.814295677949046,2.8802175469825277,1.862107183087138,1.9540309702023868,2.516163814892505,1.8742236547214057
2014-06-12,3.7971795466675573,2.8691552314006956,1.8556364622492034,1.9401963355064848,2.493410812469938,1.8814353227739913
2014-06-13,3.813161795801306,2.8797967610243558,1.8588257536821846,1.946110954652179,2.5007246345531273,1.8825739045007652
2014-06-16,3.817818887760754,2.8833101436857147,1.859334637514862,1.9477138396189893,2.502890927220971,1.8847263587110006
2014-06-17,3.8232337041355886,2.8887127570181317,1.861068191269648,1.9531275807677657,2.5042456837158165,1.8791460380384784
2014-06-18,3.848620409889411,2.898626917468965,1.871252865421065,1.967464035669007,2.518331016335458,1.8916008837093568
2014-06-19,3.867549213430677,2.909188513654911,1.8714111595949714,1.9696689918172139,2.5167061264392423,1.888150926136458
2014-06-20,3.874445226195751,2.912706923827594,1.8749987445858365,1.973668101241814,2.519666234165444,1.8951224497091301
2014-06-23,3.8717444039413387,2.9111675245515913,1.873965377630977,1.9730630149934685,2.5202099088748464,1.892246832848003
2014-06-24,3.85865093183047,2.9024650381770147,1.8685010106836777,1.9611778095218382,2.517764622248313,1.8980193730178427
2014-06-25,3.8799147553049687,2.9139825770746315,1.8745963783367532,1.9700421063521643,2.5337892809521407,1.9030478629206475
2014-06-26,3.8776667129054307,2.911360023085702,1.875233093586619,1.9686314319033584,2.5351478997412022,1.9061522317852144
2014-06-27,3.8877548888020796,2.9172009852856084,1.877420605252118,1.9724588709535444,2.5462828939670725,1.905775216851535
2014-06-30,3.9052847219726674,2.9280980747607637,1.8769140871194565,1.9714516501508639,2.550628883735628,1.9082904772474287
2014-07-01,3.9382417414579205,2.9490870182421784,1.8835304739397651,1.984647279095243,2.5786041623263176,1.90398526312762
2014-07-02,3.939108660660542,2.9519139323888344,1.8820526140828586,1.9866613438172356,2.582950152094873,1.8949919750677489
2014-07-03,3.9570778987343256,2.9630969442966357,1.8871220030321216,1.996432610474185,2.5992460801689585,1.8936072546029648
2014-07-07,3.9432574418805713,2.954119362071262,1.8833882965637558,1.989482127389794,2.5913692719052848,1.8965799097844822
2014-07-08,3.915807082921888,2.9367229224629128,1.877647461255816,1.9766893867664872,2.560134898577289,1.9024048565073184
2014-07-09,3.9427251714450686,2.951949012119949,1.8833202879284305,1.9855534951551292,2.5791480642294977,1.905508569622234
2014-07-10,3.9327866573590944,2.94566197438766,1.8791950657998335,1.977696607569168,2.570998850626679,1.9050614344943175
2014-07-11,3.947412820762655,2.9532397499097587,1.8817800241162899,1.980416574840616,2.587567184039909,1.9101807696277016
2014-07-14,3.953386721485288,2.9576215210109287,1.8868446990718006,1.9903896625414703,2.603047940840557,1.9062860731026365
2014-07-15,3.936119725472897,2.9484250065961315,1.8837550045372617,1.9866613438172356,2.5940851463207437,1.9007341078582274
2014-07-16,3.9617179223988574,2.9629240393404905,1.8885614211015678,1.9940145267810143,2.6044061052420644,1.9080273692895622
2014-07-17,3.9169173174015492,2.9338201717787116,1.8778997356781937,1.9713513991748066,2.56991286437054,1.915564116882521
2014-07-18,3.9618801032529007,2.9602592398999765,1.8885894330390842,1.991496568995155,2.6106530253464193,1.9163534817768735
2014-07-21,3.960244034291106,2.9600876735302872,1.8867460515192234,1.9877701346877634,2.607394839384223,1.9200909405332416
2014-07-22,3.9816444124217423,2.971692998563066,1.8929227094167291,1.996432610474185,2.623961809634788,1.9232620198425965
2014-07-23,3.9749594161597637,2.9651578634395714,1.8955821218794522,2.0008643820059797,2.6408018668058304,1.9237723107821407
2014-07-24,3.9545978500998493,2.954732841859878,1.8932844142968648,2.000965386748774,2.6378142686325594,1.9152622750343822
2014-07-25,3.935066068801113,2.9404547725727155,1.889423181586554,1.9915975737379499,2.6274930825174616,1.9249537176393325
2014-07-28,3.9328161370186625,2.9397017122424356,1.8900210040297698,1.9924039157051472,2.6283075722095663,1.9232675731049522
2014-07-29,3.921085737675837,2.9333683687777405,1.885908074687011,1.9838418793364674,2.6236909946520854,1.9230871917891725
2014-07-30,3.9241123291485414,2.9401142789138803,1.8833925241671792,1.984143762914745,2.634010590410741,1.9094191984622393
2014-07-31,3.8363384601561936,2.8923922629929453,1.860108851277972,1.9449601412860489,2.580778179582595,1.8933686298908745
2014-08-01,3.8366706191566964,2.892558323291408,1.8595043781558878,1.9390166905626542,2.571270574384492,1.89918452342582
2014-08-04,3.8635719508939457,2.905477513125342,1.867424759796529,1.9530184730325462,2.588925121247639,1.9021050834356605
2014-08-05,3.824508790337931,2.8854489033935065,1.8565603754217193,1.9340812144086772,2.5690983746784357,1.8983592619312586
